request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_27,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_28,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_29,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_30,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_31,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_32,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_33,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_34,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_35,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_36,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_37,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_38,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_39,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_40,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_41,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_42,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_43,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_44,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_45,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_46,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_47,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_48,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_49,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_50,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_51,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_52,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_53,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_54,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_55,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_56,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_57,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_58,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_59,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_60,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_61,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_62,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_63,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_64,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_65,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_66,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_67,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_68,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_69,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_70,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_71,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_72,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_73,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_74,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_75,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_76,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_77,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_78,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_79,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_80,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_81,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_82,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_83,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_84,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_85,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_86,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_87,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_88,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_89,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_90,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_91,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_92,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_93,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_94,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
request_95,0,not_affordable,not_recommended,none,,none,Do not pay: insufficient evidence. model provider unavailable; evidence insufficient
